'id_event','match_event','time','player','team','type_e'
0,0,39,0,13,'goal'
1,0,50,1,0,'goal'
2,0,69,2,0,'goal'
3,1,41,4,1,'goal'
4,1,80,5,12,'goal'
5,1,88,6,12,'goal'
6,2,57,12,19,'goal'
7,4,27,22,16,'goal'
8,5,5,24,15,'goal'
9,5,79,25,15,'goal'
10,6,89,31,6,'own'
11,7,7,37,7,'goal'
12,7,51,38,11,'goal'
13,7,62,39,11,'goal'
14,8,17,44,14,'goal'
15,8,27,45,8,'goal'
16,8,53,46,8,'goal'
17,9,46,49,17,'miss'
19,10,72,54,19,'goal'
20,10,83,54,19,'goal'
21,12,30,17,2,'goal'
22,12,33,64,10,'goal'
24,13,21,69,4,'penalty'
25,13,37,70,18,'goal'
26,14,39,74,11,'goal'
27,14,85,75,3,'goal'
28,15,41,80,6,'goal'
29,15,51,81,6,'goal'
30,15,62,82,6,'goal'
31,16,74,84,16,'goal'
32,17,14,89,7,'goal'
33,17,53,90,7,'goal'
34,17,75,91,7,'goal'
35,17,80,92,7,'goal'
36,17,88,93,13,'goal'
37,18,20,95,14,'goal'
38,18,70,96,14,'goal'
39,19,25,97,8,'goal'
40,19,27,26,15,'goal'
41,19,34,24,15,'goal'
42,21,77,59,1,'goal'
43,22,23,82,6,'goal'
44,22,61,107,6,'goal'
45,23,1,110,17,'goal'
46,23,12,111,7,'own'
47,23,32,111,17,'goal'
48,23,43,112,17,'goal'
49,24,37,69,4,'goal'
50,24,56,68,4,'goal'
51,24,71,117,2,'goal'
52,25,25,124,18,'goal'
53,25,68,93,13,'goal'
54,26,18,126,3,'goal'
56,26,69,127,3,'goal'
57,26,94,128,3,'goal'
58,27,63,133,5,'goal'
59,27,88,134,5,'goal'
60,28,23,39,19,'goal'
61,28,48,136,19,'goal'
62,28,67,54,19,'goal'
63,28,74,137,14,'own'
64,28,87,12,19,'goal'
65,29,11,38,11,'goal'
66,30,31,141,0,'goal'
67,31,44,49,17,'goal'
68,31,68,49,17,'goal'
69,32,1,64,10,'goal'
70,32,64,70,18,'penalty'
71,32,84,147,10,'goal'
72,32,93,70,18,'goal'
73,33,36,74,11,'goal'
74,34,53,154,4,'goal'
75,36,75,159,19,'goal'
76,37,63,95,14,'goal'
77,37,68,160,14,'own'
78,37,83,161,14,'goal'
79,38,34,163,5,'goal'
80,38,39,164,8,'goal'
81,39,78,166,3,'penalty'
82,40,4,170,13,'goal'
83,40,61,94,13,'goal'
84,40,83,102,15,'miss'
85,41,23,171,11,'goal'
86,41,36,61,1,'goal'
87,41,41,10,1,'goal'
88,41,48,172,1,'goal'
89,42,62,84,16,'goal'
90,42,71,22,16,'goal'
91,42,85,33,10,'goal'
92,43,74,55,0,'goal'
93,43,88,14,2,'goal'
94,44,33,178,18,'goal'
95,44,58,70,18,'goal'
96,44,63,179,9,'penalty'
97,44,78,72,18,'goal'
98,44,92,70,18,'penalty'
99,45,41,180,3,'goal'
100,45,59,180,3,'goal'
101,45,93,180,3,'goal'
102,46,16,37,7,'goal'
103,47,12,163,5,'goal'
104,47,63,82,6,'goal'
105,47,90,187,5,'goal'
106,48,6,159,19,'goal'
107,48,18,54,19,'goal'
108,48,67,12,19,'goal'
109,48,75,54,19,'goal'
110,48,78,190,19,'goal'
111,49,34,193,17,'goal'
112,49,71,194,17,'goal'
113,49,77,85,12,'goal'
114,50,5,3,0,'goal'
115,50,19,194,17,'penalty'
116,50,70,193,17,'goal'
117,52,42,64,10,'miss'
118,52,59,198,10,'goal'
119,52,70,147,10,'goal'
120,53,26,201,19,'goal'
121,53,33,202,19,'goal'
122,53,82,70,18,'goal'
123,54,43,74,11,'goal'
124,55,12,195,12,'goal'
125,55,21,204,5,'goal'
126,55,69,205,5,'goal'
127,55,84,30,5,'goal'
128,56,20,37,7,'goal'
129,56,48,77,7,'own'
130,56,71,114,7,'goal'
131,57,31,208,13,'goal'
132,57,41,144,1,'goal'
133,57,75,93,13,'goal'
134,57,78,209,1,'goal'
136,57,96,0,13,'miss'
137,58,41,69,4,'goal'
138,58,51,154,4,'goal'
139,59,9,212,2,'goal'
140,59,70,167,9,'goal'
141,60,20,25,15,'goal'
142,60,25,213,15,'goal'
143,61,6,217,16,'goal'
144,61,57,142,16,'goal'
145,61,61,218,16,'own'
146,61,77,22,16,'goal'
147,61,91,144,1,'goal'
148,62,18,49,17,'goal'
149,62,31,70,18,'penalty'
150,63,8,169,5,'own'
151,63,11,134,5,'goal'
152,63,14,180,3,'goal'
154,63,48,134,5,'goal'
155,63,80,205,5,'goal'
156,63,84,223,3,'goal'
157,64,12,68,4,'goal'
158,64,19,224,11,'goal'
159,64,39,224,11,'goal'
160,64,51,69,4,'goal'
161,64,72,225,11,'goal'
162,64,82,154,4,'goal'
163,66,20,136,19,'goal'
164,66,58,54,19,'penalty'
165,66,67,39,19,'goal'
166,66,84,227,19,'goal'
167,66,91,103,9,'goal'
168,67,44,228,13,'goal'
169,67,59,229,12,'goal'
170,67,67,5,12,'goal'
171,67,82,93,13,'goal'
172,68,52,185,14,'goal'
173,68,87,161,14,'penalty'
174,68,95,233,14,'goal'
175,69,31,45,8,'penalty'
176,69,58,46,8,'goal'
177,71,88,241,0,'goal'
178,72,15,242,12,'goal'
179,72,47,147,10,'goal'
180,72,55,242,12,'goal'
181,73,61,212,2,'goal'
182,75,56,247,11,'goal'
183,75,86,248,16,'goal'
184,76,48,194,17,'goal'
185,76,74,250,17,'goal'
186,78,21,119,4,'goal'
187,79,2,254,8,'goal'
188,79,49,131,8,'goal'
189,79,86,48,8,'goal'
190,80,72,76,11,'goal'
191,80,84,76,11,'goal'
192,80,90,255,0,'goal'
193,81,62,10,1,'goal'
