'id_match','date_match','home','away','stage'
0,08/08/2015,0,13,1
1,09/08/2015,1,12,1
2,07/08/2015,2,19,1
3,09/08/2015,3,18,1
4,08/08/2015,4,16,1
5,08/08/2015,5,15,1
6,08/08/2015,6,10,1
7,08/08/2015,7,11,1
8,09/08/2015,8,14,1
9,08/08/2015,9,17,1
10,17/10/2015,0,19,10
11,18/10/2015,1,5,10
12,17/10/2015,10,2,10
13,18/10/2015,4,18,10
14,16/10/2015,11,3,10
15,17/10/2015,6,9,10
16,17/10/2015,12,16,10
17,18/10/2015,13,7,10
18,17/10/2015,14,17,10
19,17/10/2015,8,15,10
20,24/10/2015,15,10,11
21,25/10/2015,1,9,11
22,23/10/2015,16,6,11
23,24/10/2015,17,7,11
24,25/10/2015,2,4,11
25,24/10/2015,18,13,11
26,23/10/2015,3,8,11
27,24/10/2015,5,0,11
28,25/10/2015,19,14,11
29,25/10/2015,12,11,11
30,31/10/2015,0,16,12
31,31/10/2015,17,1,12
32,31/10/2015,10,18,12
33,01/11/2015,11,15,12
34,01/11/2015,6,4,12
35,01/11/2015,7,2,12
36,30/10/2015,13,19,12
37,31/10/2015,14,12,12
38,31/10/2015,8,5,12
39,31/10/2015,9,3,12
40,06/11/2015,15,13,13
41,08/11/2015,1,11,13
42,07/11/2015,16,10,13
43,07/11/2015,2,0,13
44,07/11/2015,18,9,13
45,08/11/2015,3,14,13
46,08/11/2015,4,7,13
47,07/11/2015,5,6,13
48,07/11/2015,19,8,13
49,07/11/2015,12,17,13
50,22/11/2015,0,17,14
51,22/11/2015,16,15,14
52,21/11/2015,10,8,14
53,21/11/2015,18,19,14
54,21/11/2015,11,6,14
55,21/11/2015,5,12,14
56,20/11/2015,7,3,14
57,22/11/2015,13,1,14
58,22/11/2015,14,4,14
59,21/11/2015,9,2,14
60,28/11/2015,15,2,15
61,29/11/2015,1,16,15
62,28/11/2015,17,18,15
63,27/11/2015,3,5,15
64,29/11/2015,4,11,15
65,28/11/2015,6,0,15
