'id_player','name_player','birthday'
0,'Giovanni Sio',31/03/1989
1,'Floyd Ayite',15/12/1988
2,'Francois Kamano',01/05/1996
3,'Brandao',16/06/1980
4,'Wahbi Khazri',08/02/1991
5,'Nicolas De Preville',08/01/1991
6,'Theoson Jordan Siebatcheu',26/04/1996
7,'Hamari Traore',27/01/1992
8,'Maxime Poundje',16/08/1992
9,'Gaetan Charbonnier',27/12/1988
10,'Cedric Yambere',06/11/1990
11,'Frederic Guilbert',24/12/1994
12,'Lucas Moura',13/08/1992
13,'Adrien Rabiot',03/04/1995
14,'Djibril Sidibe',29/07/1992
15,'Thiago Motta',28/08/1982
16,'Serge Aurier',24/12/1992
17,'Sofiane Boufal',17/09/1993
18,'Benjamin Pavard',28/03/1996
19,'Wesley Lautoa',25/08/1987
20,'Jordan Ferri',12/03/1992
21,'Francois Bellugou',25/04/1987
22,'Andy Delort',09/10/1991
23,'Stephane Sparagna',17/02/1995
24,'Abdoul Razzagui Camara',20/02/1990
25,'Gilles Sunu',30/03/1991
26,'Cheikh Ndoye',29/03/1986
27,'Mathieu Deplagne',01/10/1991
28,'Ramy Bensebaini',16/04/1995
29,'Vincent Manceau',10/07/1989
30,'Bryan Dabo',18/02/1992
31,'Jeremy Sorbon',05/08/1983
32,'Koffi Djidji',30/11/1992
33,'Dorian Leveque',22/11/1989
34,'Mustapha Diallo',14/05/1986
35,'Birama Toure',06/06/1992
36,'Younousse Sankhare',10/09/1989
37,'Valere Germain',17/04/1990
38,'Bernardo Silva',10/08/1994
39,'Lavyin Kurzawa',04/09/1992
40,'Olivier Boscagli',18/11/1997
41,'Alassane Plea',10/03/1993
42,'Ricardo Carvalho',18/05/1978
43,'Paul Baysse',18/05/1988
44,'Loic Perrin',07/08/1985
45,'Martin Braithwaite',05/06/1991
46,'Wissam Ben Yedder',12/08/1990
47,'Kevin Theophile-Catherine',28/10/1989
48,'Aleksandar Pesic',21/05/1992
49,'Mohamed Larbi',02/09/1987
50,'Amos Youga',08/12/1992
51,'Pablo Martinez',21/02/1989
52,'David Ducourtioux',11/04/1978
53,'Issiaga Sylla',01/01/1994
54,'Zlatan Ibrahimovic',03/10/1981
55,'Gael Danic',19/11/1981
56,'Axel N''Gando',13/07/1993
57,'Marquinhos',14/05/1994
58,'Yannick Cahuzac',18/01/1985
59,'Adam Ounas',11/11/1996
60,'Henri Saivet',26/10/1990
61,'Nicolas Maurice-Belay',19/04/1985
62,'William Remy',04/04/1991
63,'Ludovic Lamine Sane',22/03/1987
64,'Jimmy Briand',02/08/1985
65,'Stophira Sunzu',22/06/1989
66,'Adama Soumaoro',18/06/1992
67,'Baptiste Guillaume',16/06/1995
68,'Romain Alessandrini',03/04/1989
69,'Michy Batshuayi',02/10/1993
70,'Benjamin Moukandjo',12/11/1988
71,'Pape Abdou Paye',31/05/1990
72,'Ibrahim Didier Ndong',17/06/1994
73,'Rolando',31/08/1985
74,'Mario Pasalic',09/02/1995
75,'Rafael',09/07/1990
76,'Lacina Traore',20/05/1990
77,'Mapou Yanga-Mbiwa',15/05/1989
78,'Wallace',14/10/1993
79,'Samuel Umtiti',14/11/1993
80,'Valentin Rongier',07/12/1994
81,'Youssouf Sabaly',05/03/1993
82,'Yacine Bammou',11/09/1991
83,'Dusan Veskovac',16/03/1986
84,'Julien Feret',05/07/1982
85,'Grejohn Kyei',12/08/1995
86,'Jordan Leborgne',29/09/1995
87,'Dennis Appiah',09/06/1992
88,'Alaeddine Yahia',26/09/1981
89,'Mathieu Bodmer',22/11/1982
90,'Hatem Ben Arfa',07/03/1987
91,'Mahamane Traore',31/08/1988
92,'Said Benrahma',10/08/1995
93,'Kamil Grosicki',08/06/1988
94,'Gelson Fernandes',02/09/1986
95,'Robert Beric',17/06/1991
96,'Kevin Monnet-Paquet',19/08/1988
97,'Oscar Trejo',26/04/1988
98,'Slimane Sissoko',20/03/1991
99,'Marcel Tisserand',10/01/1993
100,'Romain Thomas',12/06/1988
101,'Benjamin Brou Angoua',28/11/1986
102,'Thomas Mangani',29/04/1987
103,'Thomas Ayasse',17/02/1987
104,'Chris Mavinga',26/05/1991
105,'Stephane Darbion',22/03/1984
106,'Jonathan Martins-Pereira',30/01/1986
107,'Adrien Thomasson',10/12/1993
108,'Wilfried Moimbe',18/10/1988
109,'Remy Riou',06/08/1987
110,'Gregory Pujol',25/01/1980
111,'Roderic Filippi',25/02/1989
112,'Damjan Djokovic',18/04/1990
113,'Alexandre Coeff',20/02/1992
114,'Vincent Koziello',28/10/1995
115,'Jerome Le Moigne',15/02/1983
116,'Wallyson Mallmann',16/02/1994
117,'Sebastien Corchia',01/11/1990
118,'Renato Civelli',14/10/1983
119,'Remy Cabella',08/03/1990
120,'Nicolas N''Koulou',27/03/1990
121,'Lucas Silva',16/02/1993
122,'Lassana Diarra',10/03/1985
123,'Sehrou Guirassy',12/03/1996
124,'Raphael Guerreiro',22/12/1993
125,'Lamine Kone',01/02/1989
126,'Sergi Darder',22/12/1993
127,'Mathieu Valbuena',28/09/1984
128,'Gnaly Maxwell Cornet',27/09/1996
129,'Francois Moubandje',21/06/1990
130,'Yann Bodiger',09/02/1995
131,'Jean-Daniel Akpa-Akpro',11/10/1992
132,'Jeremy Morel',02/04/1984
133,'Ryad Boudebouz',19/02/1990
134,'Rodrigue Casimir Ninga',17/05/1993
135,'Mathieu Philippe Peybernes',21/10/1990
136,'Edinson Cavani',14/02/1987
137,'Marco Verratti',05/11/1992
138,'Antoine Devaux',21/02/1985
139,'Danijel Subasic',27/10/1984
140,'Ivan Cavaleiro',18/10/1993
141,'Abdoulaye Diallo Sadio 22',28/12/1990
142,'Damien Da Silva',17/05/1988
143,'Diego Rolan',24/03/1993
144,'Enzo Crivelli',06/02/1995
145,'Clement Maury',20/11/1985
146,'Andre Biyogo Poko',07/03/1993
147,'Yannis Salibur',24/01/1991
148,'Nicolas Benezet',24/02/1991
149,'Abdul Majeed Waris',19/09/1991
150,'Walid Mesloub',04/09/1985
151,'Lionel Mathis',04/10/1981
152,'Elderson',20/01/1988
153,'Yoann Andreu',03/05/1989
154,'Georges N''Koudou',13/02/1995
155,'Ricardo Pereira',06/10/1993
156,'Eric Bautheac',24/08/1987
157,'Mounir Obbadi',04/04/1983
158,'Franck Honorat',11/08/1996
159,'Angel Di Maria',14/02/1988
160,'Prince Oniangue',04/11/1988
161,'Valentin Eysseric',25/03/1992
162,'Alexi Peuget',18/12/1990
163,'Jerome Roussillon',06/01/1993
164,'Zinedine Machach',05/01/1996
165,'Adrien Regattin',22/08/1991
166,'Claudio Beauvue',16/04/1988
167,'Corentin Jean',15/07/1995
168,'Fabien Camus',28/02/1985
169,'Maxime Gonalons',10/03/1989
170,'Abdoulaye Doucoure',01/01/1993
171,'Helder Costa',12/01/1994
172,'Jaroslav Plasil',05/01/1982
173,'Stephan El Shaarawy',27/10/1992
174,'Fabinho',23/10/1993
175,'Lars Jacobsen',20/09/1979
176,'Gilles Cioni',14/06/1984
177,'Julien Palmieri',07/12/1986
178,'Benjamin Jeannot',22/01/1992
179,'Benjamin Nivet',02/01/1977
180,'Alexandre Lacazette',28/05/1991
181,'Vincent Pajot',19/08/1990
182,'Fabien Lemoine',16/03/1987
183,'Anthony Lopes',01/10/1990
184,'Jeremy Clement',26/08/1984
185,'Romain Hamouma',29/03/1987
186,'Benjamin Mendy',17/07/1994
187,'Hilton',13/09/1977
188,'Oswaldo Vizcarrondo',31/05/1984
189,'Lorik Cana',27/07/1983
190,'Ezequiel Lavezzi',03/05/1985
191,'David Luiz',22/04/1987
192,'Benjamin Stambouli',13/08/1990
193,'Khalid Boutaib',24/04/1987
194,'Jacques Zoua Daogari',06/09/1991
195,'Anthony Weber',11/06/1987
196,'Jean-Louis Leca',21/09/1985
197,'Pierrick Capelle',15/04/1987
198,'Sloan Privat',24/07/1989
199,'William Matheus',02/04/1990
200,'Jean-Armel Kana-Biyik',03/07/1989
201,'Hervin Ongenda',24/06/1995
202,'Blaise Matuidi',09/04/1987
203,'Lamine Gassama',20/10/1989
204,'Mustapha Yatabare',26/01/1986
205,'Souleymane Camara',22/12/1982
206,'Franck Signorino',19/09/1981
207,'Romain Genevois',28/10/1987
208,'Ousmane Dembele',15/05/1997
209,'Diego Contento',01/05/1990
210,'Sylvain Armand',01/08/1980
211,'Nicolas Pallois',19/09/1987
212,'Yassine Benzia',08/09/1994
213,'Ismael Traore',18/08/1986
214,'Lenny Nangis',24/03/1994
215,'Florent Balmont',02/02/1980
216,'Olivier Auriac',14/09/1983
217,'Siam Ben Youssef',31/03/1989
218,'Cedric Carrasso',30/12/1981
219,'Chaker Alhadhur',04/12/1991
220,'Clement Chantome',11/09/1987
221,'Jordan Adeoti',12/03/1989
222,'Corentin Tolisso',03/08/1994
223,'Rachid Ghezzal',09/05/1992
224,'Almamy Toure',28/04/1996
225,'Fabio Coentrao',11/03/1988
226,'Alejandro Bedoya',29/04/1987
227,'Jean-Kevin Augustin',16/06/1997
