'id_team','name_team','surname','short','birthday','city'
0,'Sporting Club Bastiais','Le Sporting','SCB',1905,'Bastia'
1,'Football Club des Girondins de Bordeaux','Les Girondins','FCGB',1881,'Bordeaux'
2,'Lille Olympique Sporting Club','Les Dogues','LOSC',1944,'Lille'
3,'Olympique Lyonnais','Les Gones','OL',1950,'Lyon'
4,'Olympique de Marseille','Les Phocéens','OM',1899,'Marseille'
5,'Montpellier Hérault Sport Club','La Paillade','MHSC',1919,'Montpellier'
6,'Football Club de Nantes','Les Canaris','FCN',1943,'Nantes'
7,'Olympique Gymnaste Club de Nice','Les Aiglons','OGCN',1904,'Nice'
8,'Toulouse Football Club','Les Violets','TFC',1970,'Toulouse'
9,'Espérance Sportive Troyes Aube Champagne','L''ESTAC','ESTAC',1986,'Troyes'
10,'En Avant de Guingamp','Les Rouges et Noirs','EAG',1912,'Guingamp'
11,'Association sportive de Monaco football club','Les rouges et blancs','ASM',1924,'Monaco'
12,'Stade de Reims','Les rouges et blancs','SR',1931,'Reims'
13,'Stade Rennais Football Club','Les Hermines','SRFC',1901,'Rennes'
14,'Association sportive de Saint-Étienne Loire','Les verts','ASSE',1933,'Saint-Étienne'
15,'Angers Sporting Club de l''Ouest','Les noirs et blancs','SCO',1919,'Angers'
16,'Stade Malherbe Caen Calvados Basse-Normandie','Malherbe','CAE',1913,'Caen'
17,'Gazélec Football Club Ajaccio','I diavuli rossi','GFCA',1960,'Ajaccio'
18,'Football Club de Lorient Bretagne Sud','Les Merlus','FCL',1926,'Lorient'
19,'Paris Saint-Germain Football Club','Le PSG','PSG',1904,'Paris'
